"trinomial","opencontext_uri","opencontext_mirror_url","tdar_metadata_uri","state_source","link_identified"
"8HG28","http://opencontext.org/subjects/BF763C56-E6B9-4D36-0EED-7BDDAEA3368C","http://opencontext.dainst.org/subjects/BF763C56-E6B9-4D36-0EED-7BDDAEA3368C","http://core.tdar.org/browse/site-name/3314/8hg28","Florida Site Files","2015-02-09 12:00:53.200871"
"8HG29","http://opencontext.org/subjects/2B44F1C7-6462-45E8-5FB7-8AF146AF0253","http://opencontext.dainst.org/subjects/2B44F1C7-6462-45E8-5FB7-8AF146AF0253","http://core.tdar.org/browse/site-name/3315/8hg29","Florida Site Files","2015-02-09 12:00:55.210986"
"8HG30","http://opencontext.org/subjects/6C982D3E-C8C2-45B5-7F51-222082A748AE","http://opencontext.dainst.org/subjects/6C982D3E-C8C2-45B5-7F51-222082A748AE","http://core.tdar.org/browse/site-name/3316/8hg30","Florida Site Files","2015-02-09 12:00:57.185099"
"8HG31","http://opencontext.org/subjects/1E83695B-41AC-4965-9B0E-58D18ABDE317","http://opencontext.dainst.org/subjects/1E83695B-41AC-4965-9B0E-58D18ABDE317","http://core.tdar.org/browse/site-name/3297/8hg31","Florida Site Files","2015-02-09 12:00:59.199214"
"8HG32","http://opencontext.org/subjects/9159D9B7-5744-4DD2-50C2-391DCF538DBE","http://opencontext.dainst.org/subjects/9159D9B7-5744-4DD2-50C2-391DCF538DBE","http://core.tdar.org/browse/site-name/3305/8hg32","Florida Site Files","2015-02-09 12:01:01.204329"
"8HG33","http://opencontext.org/subjects/6361E5A1-532F-4ACC-7578-839CA024C4FF","http://opencontext.dainst.org/subjects/6361E5A1-532F-4ACC-7578-839CA024C4FF","http://core.tdar.org/browse/site-name/3317/8hg33","Florida Site Files","2015-02-09 12:01:03.284448"
"8HG34","http://opencontext.org/subjects/26A56A4B-59DD-49D9-7FB1-06356F0B50AB","http://opencontext.dainst.org/subjects/26A56A4B-59DD-49D9-7FB1-06356F0B50AB","http://core.tdar.org/browse/site-name/3306/8hg34","Florida Site Files","2015-02-09 12:01:05.333565"
"8HG35","http://opencontext.org/subjects/06ACF9EE-5DAC-4933-C40C-BEF53F09DCE4","http://opencontext.dainst.org/subjects/06ACF9EE-5DAC-4933-C40C-BEF53F09DCE4","http://core.tdar.org/browse/site-name/3307/8hg35","Florida Site Files","2015-02-09 12:01:07.387682"
"8HG36","http://opencontext.org/subjects/D105FCA6-7CE9-40D9-A4A1-DE1FE114E30C","http://opencontext.dainst.org/subjects/D105FCA6-7CE9-40D9-A4A1-DE1FE114E30C","http://core.tdar.org/browse/site-name/3308/8hg36","Florida Site Files","2015-02-09 12:01:09.395797"
"8HG37","http://opencontext.org/subjects/4A0B9E5D-B556-4DC6-AF7E-3498DC3A6C71","http://opencontext.dainst.org/subjects/4A0B9E5D-B556-4DC6-AF7E-3498DC3A6C71","http://core.tdar.org/browse/site-name/3318/8hg37","Florida Site Files","2015-02-09 12:01:11.393911"
"8HG688","http://opencontext.org/subjects/725F9409-12DC-416E-FA0A-C6324032FD11","http://opencontext.dainst.org/subjects/725F9409-12DC-416E-FA0A-C6324032FD11","http://core.tdar.org/browse/site-name/6695/8hg688","Florida Site Files","2015-02-09 12:02:11.832368"
